CategoryID,CategoryName,Image
1,?i?n t? công ngh?,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\dientucongnghe.jpg
2,Th?i trang nam,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\thoitrangnam.jpg
3,M? ph?m,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\mypham.jpg
4,Gia d?ng,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\giadung.jpg
5,Oto - Xe máy,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\otoxemay.jpg
6,S?c kh?e,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\suckhoe.jpg
7,Giày dép,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\giaydep.jpg
8,Nhà c?a và ??i s?ng,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\nhacuavadoisong.jpg
9,Th?i trang n?,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\thoitrangnu.jpg
10,Th?i trang tr? em,D:\CloneGit\SaleManagemantSystem\src\main\resources\static\image\imageCategory\thoitrangtreem.jpg
